sample	pop
Fug_B13.SM	Bos
Fug_B14.SM	Bos
Fug_B15.SM	Bos
Fug_B17.SM	Bos
Fug_B18.SM	Bos
Fug_B19.SM	Bos
Fug_B20.SM	Bos
Fug_B21.SM	Bos
Fug_B22.SM	Bos
Fug_B24.SM	Bos
Fug_F25.SM	Fif
Fug_F26.SM	Fif
Fug_F27.SM	Fif
Fug_F29.SM	Fif
Fug_F30.SM	Fif
Fug_F32.SM	Fif
Fug_F33.SM	Fif
Fug_F34.SM	Fif
Fug_F35.SM	Fif
Fug_F36.SM	Fif
Fug_S11.SM	Sev
Fug_S12.SM	Sev
Fug_S1.SM	Sev
Fug_S2.SM	Sev
Fug_S3.SM	Sev
Fug_S4.SM	Sev
Fug_S6.SM	Sev
Fug_S7.SM	Sev
Fug_S8.SM	Sev
Fug_S9.SM	Sev
